Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-03-25,1479.95,1479.95,1479.95,1479.95,0,0,0
1998-03-26,1478.43,1478.43,1478.43,1478.43,0,0,0
1998-03-27,1471.49,1471.49,1471.49,1471.49,0,0,0
1998-03-30,1468.97,1468.97,1468.97,1468.97,0,0,0
1998-03-31,1480.0,1480.0,1480.0,1480.0,0,0,0
1998-04-01,1488.7,1488.7,1488.7,1488.7,0,0,0
1998-04-02,1504.69,1504.69,1504.69,1504.69,0,0,0
1998-04-03,1508.32,1508.32,1508.32,1508.32,0,0,0
1998-04-06,1506.56,1506.56,1506.56,1506.56,0,0,0
1998-04-07,1491.12,1491.12,1491.12,1491.12,0,0,0
1998-04-08,1480.54,1480.54,1480.54,1480.54,0,0,0
1998-04-09,1492.68,1492.68,1492.68,1492.68,0,0,0
1998-04-13,1491.45,1491.45,1491.45,1491.45,0,0,0
1998-04-14,1499.59,1499.59,1499.59,1499.59,0,0,0
1998-04-15,1504.4,1504.4,1504.4,1504.4,0,0,0
1998-04-16,1489.44,1489.44,1489.44,1489.44,0,0,0
1998-04-17,1509.01,1509.01,1509.01,1509.01,0,0,0
1998-04-20,1510.26,1510.26,1510.26,1510.26,0,0,0
1998-04-21,1514.33,1514.33,1514.33,1514.33,0,0,0
1998-04-22,1519.62,1519.62,1519.62,1519.62,0,0,0
1998-04-23,1504.91,1504.91,1504.91,1504.91,0,0,0
1998-04-24,1489.21,1489.21,1489.21,1489.21,0,0,0
1998-04-27,1460.5,1460.5,1460.5,1460.5,0,0,0
1998-04-28,1458.73,1458.73,1458.73,1458.73,0,0,0
1998-04-29,1471.77,1471.77,1471.77,1471.77,0,0,0
1998-04-30,1494.89,1494.89,1494.89,1494.89,0,0,0
1998-05-01,1507.33,1507.33,1507.33,1507.33,0,0,0
1998-05-04,1508.77,1508.77,1508.77,1508.77,0,0,0
1998-05-05,1499.97,1499.97,1499.97,1499.97,0,0,0
1998-05-06,1486.1,1486.1,1486.1,1486.1,0,0,0
1998-05-07,1472.98,1472.98,1472.98,1472.98,0,0,0
1998-05-08,1490.48,1490.48,1490.48,1490.48,0,0,0
1998-05-11,1489.2,1489.2,1489.2,1489.2,0,0,0
1998-05-12,1501.58,1501.58,1501.58,1501.58,0,0,0
1998-05-13,1506.0,1506.0,1506.0,1506.0,0,0,0
1998-05-14,1504.03,1504.03,1504.03,1504.03,0,0,0
1998-05-15,1492.46,1492.46,1492.46,1492.46,0,0,0
1998-05-18,1488.71,1488.71,1488.71,1488.71,0,0,0
1998-05-19,1493.7,1493.7,1493.7,1493.7,0,0,0
1998-05-20,1506.75,1506.75,1506.75,1506.75,0,0,0
1998-05-21,1500.8,1500.8,1500.8,1500.8,0,0,0
1998-05-22,1495.19,1495.19,1495.19,1495.19,0,0,0
1998-05-26,1473.06,1473.06,1473.06,1473.06,0,0,0
1998-05-27,1470.84,1470.84,1470.84,1470.84,0,0,0
1998-05-28,1478.28,1478.28,1478.28,1478.28,0,0,0
1998-05-29,1469.19,1469.19,1469.19,1469.19,0,0,0
1998-06-01,1469.46,1469.46,1469.46,1469.46,0,0,0
1998-06-02,1472.48,1472.48,1472.48,1472.48,0,0,0
1998-06-03,1458.68,1458.68,1458.68,1458.68,0,0,0
1998-06-04,1474.99,1474.99,1474.99,1474.99,0,0,0
1998-06-05,1500.68,1500.68,1500.68,1500.68,0,0,0
1998-06-08,1503.27,1503.27,1503.27,1503.27,0,0,0
1998-06-09,1506.93,1506.93,1506.93,1506.93,0,0,0
1998-06-10,1498.75,1498.75,1498.75,1498.75,0,0,0
1998-06-11,1475.29,1475.29,1475.29,1475.29,0,0,0
1998-06-12,1481.06,1481.06,1481.06,1481.06,0,0,0
1998-06-15,1451.65,1451.65,1451.65,1451.65,0,0,0
1998-06-16,1465.91,1465.91,1465.91,1465.91,0,0,0
1998-06-17,1492.28,1492.28,1492.28,1492.28,0,0,0
1998-06-18,1491.35,1491.35,1491.35,1491.35,0,0,0
1998-06-19,1483.65,1483.65,1483.65,1483.65,0,0,0
1998-06-22,1487.12,1487.12,1487.12,1487.12,0,0,0
1998-06-23,1509.07,1509.07,1509.07,1509.07,0,0,0
1998-06-24,1527.18,1527.18,1527.18,1527.18,0,0,0
1998-06-25,1522.32,1522.32,1522.32,1522.32,0,0,0
1998-06-26,1527.86,1527.86,1527.86,1527.86,0,0,0
1998-06-29,1535.01,1535.01,1535.01,1535.01,0,0,0
1998-06-30,1528.87,1528.87,1528.87,1528.87,0,0,0
1998-07-01,1548.77,1548.77,1548.77,1548.77,0,0,0
1998-07-02,1545.89,1545.89,1545.89,1545.89,0,0,0
1998-07-06,1560.83,1560.83,1560.83,1560.83,0,0,0
